#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ENGINEERING;Engineering;Ingénierie;;;;;;;;;;;;x
dwarfengineering.0;Zhufbar is in dwarf hands.;;;;;;;;;;;;;x
dwarfengineering.1;Zhufbar is not in dwarf hands.;;;;;;;;;;;;;x
dwarfengineering.2;You show a lot of promise in learning new things. You even got invited to learn from the Engineers in Zhufbar. What do you answer?;Vous semblez un élève prometteur. Vous avez été invité à apprendre au près des ingénieurs à Zhufbar. Que répondez-vous ?;;;;;;;;;;;;x
dwarfengineering2A;Who would disagree with that offer?;Qui refuserez une telle offre ?;;;;;;;;;;;;x
dwarfengineering2B;No, my clan needs me here.;Non, mon clan a besoin de moi ici.;;;;;;;;;;;;x
dwarfengineering.3;Your child was just invited into the great Engineers Guild of Zhufbar, to learn the craft of engineering. A great honour for the clan!;Votre enfant vient tout juste d'être invité à la grande guilde des ingénieurs de Zhufbar afin d'apprendre le métier. Un grand honneur pour votre clan !;;;;;;;;;;;;x
dwarfengineering3A;Make us proud!;Rend nous fier !;;;;;;;;;;;;x
dwarfengineering.4;A new apprentice has shown up in your territory, and requests to be taught the secrets of engineering. Do you accept?;Un nouvel apprenti est apparu sur votre territoire et demande que vous lui enseigniez les secrets de l'ingénierie. Acceptez-vous ?;;;;;;;;;;;;x
dwarfengineering4A;Just get in already.There are things to build...;Il y a des choses à construire…;;;;;;;;;;;;x
dwarfengineering4B;Bah! I don't think you'd fit in here. Get lost.;Bah ! Je ne pense pas que tu aies ta place ici, va-t'en.;;;;;;;;;;;;x
dwarfengineering.5;You have been allowed in by the Engineers. Now you will finally learn how to craft great machines for you and your clan!;Vous avez été accepté au sein des Ingénieurs. Vous êtes enfin autoriser à apprendre comment contruire de superbes machines pour votre clan !;;;;;;;;;;;;x
dwarfengineering.6;For a mere 200 gold, you can ask an engineer to move into your hold, to fight alongside your armies and improve the equipment. Do you want to?;Pour la modeste somme de 200 pièces d'or, vous pouvez demander à un ingénieur de venir à votre cour afin qu'il se batte aux côtés de votre armée et améliore son équipement. Qu'en dites-vous ?;;;;;;;;;;;;x
dwarfengineering6A;Hire one immediately!;Embauchez-le immédiatement !;;;;;;;;;;;;x
dwarfengineering.7;A ruler has offered to rent your services as engineer for a good 200 gold. What do you say?;Un souverrain a offert de louer vos services d'ingénieur pour 200 pièces d'or. Qu'en dites-vous ?;;;;;;;;;;;;x
dwarfengineering.8;Sure! Let me help you keep your machines running. Just leave 'em to me!;Bien sûr ! Laissez moi vous aider à maintenir vos machines en état de marche. Juste laissez-les moi !;;;;;;;;;;;;x
studymechanicstitle;Study mechanics;Etudier la mécanique;;;;;;;;;;;;x
studymechanics0;While the realm is at peace, you are free to study your machinery undisturbed. Do you wish to seclude yourself and look into how things tick?;Tant que le domaine est en paix, vous êtes libre d'étudier tranquillement les machines. Souhaitez-vous vous isoler pour étudier ?;;;;;;;;;;;;x
studymechanics1;Your studies have paid off, and you now understand a little more of what makes things tick.;Votre travail a payé et vous comprenez un peu mieux comment les choses tournent.;;;;;;;;;;;;x
studymechanics2;The realm is at war, and you are forced to stop your studies in seclusion and do what you can for its defence.;Le domaine est en guerre et vous ne pouvez rester reclu à étudier. Accomplissez votre devoir et faites tout votre possible pour la défense du domaine !;;;;;;;;;;;;x
studymechanics2B;No, I cannot stop my studies now!;Non, je ne peux abandonner mes études maintenant !;;;;;;;;;;;;x
studymechanics3;After countless long nights of work, you finally mastered the craft. Even the other Engineers look up to your crafts.;Après de longues nuit de travail acharné vous êtes désormais maître en construction. Même les autres ingénieurs envie vos constructions.;;;;;;;;;;;;x
studying_mechanics;Study Mechanical Engineering;Etudier l'ingénierie mécanique;;;;;;;;;;;;x
studying_mechanics_desc;This character goes into seclusion, delving deep into his engineering knowledge...;Le personnage s'enferme et creuse profondément dans ses connaissances d'ingénieur…;;;;;;;;;;;;x
studying_mechanics_decision;Study Mechanical Engineering;Etudier l'ingénierie mécanique;;;;;;;;;;;;x
studying_mechanics_decision_desc;This character goes into seclusion, delving deep into his engineering knowledge...;Le personnage s'enferme et creuse profondément dans ses connaissances d'ingénieur…;;;;;;;;;;;;x
hire_engineer;Hire Engineer;Embaucher un ingénieur;;;;;;;;;;;;x
hire_engineer_desc;Hire an Engineer out of Zhufbar, to maintain machines and lead your artillery in battle!;Embaucher un ingénieur de Zhufbar pour assurer l'entretien de vos machines et le commandement de votre artillerie dans la bataille !;;;;;;;;;;;;x
stop_studying_mechanics_decision;Stop Studying Mechanical Engineering;Arrêter d'étudier l'ingénierie mécanique;;;;;;;;;;;x;
stop_studying_mechanics_decision_desc;Return from your studies early and end regency.;Arrêter vos études en avances et mettre fin à la régence.;;;;;;;;;;;x;
dwarf_engineer;Dwarf Engineer;Ingénieur Nain;;;;;;;;;;;x;
dwarf_engineer_desc;A mechanical mastermind of the dwarf people, dedicated to building and maintaining many gadgets like gyrocopters or hydraulic pumps.;Un expert de la mécanique du peuple Nain, dédié à la construction et l'entretien de gadgets tels que les gyrocoptères et les pompes hydrauliques.;;;;;;;;;;;x;
dwarf_engineer_master;Dwarf Engineering Master;Maître Ingénieur Nain;;;;;;;;;;;x;
dwarf_engineer_master_desc;A true mechanical mastermind of the dwarf people, these dwarfs forge and design new and unique things to aid their people in every situation, and are highly revered. Of course, even the greatest and most ingenious designs are but careful developments based on the devices built by the ancients.;Un véritable maître et expert de la mécanique issu du peuple Nain. Ces nain forge et concoivent des nouveautés unique pour aider leur peuple dans toutes situations et sont extrêmement révérés.;;;;;;;;;;;x;
