
heavens_lore_non_battle.1;The Winds of Magic!;;;;;;;;;;;;x
heavens_lore_non_battle.1_desc;The swirling essence of chaos itself, the very winds of magic itelf flows through you with the energy of that accursed void. Their swirling energies are potent and rich, and the air crackles with these arcane and unfathomable energies of pure corruption, testing, tasting, twisting all the mundane world. Now is the moment of choice, the moment in which you must choose what to do next, to risk your very soul, and devestate your foe, or let these hideously uncontrollable energies subside.;;;;;;;;;;;;x
heavens_lore_non_battle.1a;I call on the winds!;;;;;;;;;;;;x
heavens_lore_non_battle.1b;I shall not cast at this time.;;;;;;;;;;;;x
heavens_lore_non_battle.1c;I like the energies to cast at this time. ;;;;;;;;;;;;x



heavens_lore_non_battle.2;Lore of Heavens.;;;;;;;;;;;;x
heavens_lore_non_battle.2_desc;The Lore of the Heavens is the magic of not just the phenomena of the skies, but the sacred all powerful arts of astronomancy and fatebinding. Unlike allmost all other forms of magic, the true power of the heavens lies not in the chaos of its power, but the sheer determination of destiny. Within the power of the Heavens mage is not just the ability to perceive what yet might be, but to in fact determine what fate itself holds..;;;;;;;;;;;;x
heavens_lore_non_battle.2a;Cast Divination.;;;;;;;;;;;;x
heavens_lore_non_battle.2b;Cast Enlightenment of the Heavens.;;;;;;;;;;;;x
heavens_lore_non_battle.2c;Cast Storm of Destiny.;;;;;;;;
heavens_lore_non_battle.2d;Cast Binding of Fate.;;;;;;;;;;;;x
heavens_lore_non_battle.2a_desc;Through [spellcaster.GetBestName]'s unearthly power, [spelltarget.GetBestName] is shown visions of things to be, of things to come.;;;;;;;;;;;;x
heavens_lore_non_battle.2b_desc;Through [spellcaster.GetBestName]'s unearthly power, [spelltarget.GetBestName] mind is forcibly expanded outwards, driving it close to madness, but letting [spelltarget.GetBestName] experience the fleeting moment of eternity.;;;;;;;;;;;;x
heavens_lore_non_battle.2c_desc;Unleash or quell the might of the astrological storm, with the winds of the world, and the whims of destiny, conspiring to either advance or hinder military progress within the lands.;;;;;;;;;;;;x
heavens_lore_non_battle.2d_desc;[spellcaster.GetBestName]'s possesses the most ungodly of powers, that to bind fate. [spelltarget.GetBestName] destiny in the face of death in battle or death to the shadows is bound to your whims.;;;;;;;;;;;;x

heavens_lore_non_battle.101;Healing Light of Qyesh.;;;;;;;;;;;;x
heavens_lore_non_battle.100_desc;The subtle weaves of the twisted winds of magic, flow and bind and combine, till at last the pinnacle of the healing arts is within your grasp, the healing of both mind and soul!;;;;;;;;;;;;x
heavens_lore_non_battle.100a;Healing Light of Qyesh.;;;;;;;;;;;;x
heavens_lore_non_battle.101;Healing Light of Qyeshc.;;;;;;;;;;;;x
heavens_lore_non_battle.101_desc;Restoring Spirit and Body in one action is an act beyond all the lesser crafts of magic, but for a mastery of Qyesh, it is but child's play.;;;;;;;;;;;;x
heavens_lore_non_battle.101a;By my light, you are renewed!;;;;;;;;;;;;x



heavens_lore_non_battle.200;Empowering Martial Majesty.;;;;;;;;;;;;x
heavens_lore_non_battle.200_desc;The light of Qyesh flows through the souls of the commanders, making them great commanders and leaders like few have ever been.;;;;;;;;;;;;x
heavens_lore_non_battle.200a;For Victory!;;;;;;;;;;;;x


heavens_lore_non_battle.201;I want to be the very best!;;;;;;;;;;;;x
heavens_lore_non_battle.201_desc;Animated by your magics, your generals move unwards toward victory!;;;;;;;;;;;;x
heavens_lore_non_battle.201a;Like no-one ever was!;;;;;;;;;;;;x




heavens_lore_non_battle.300;Shining Light of Hope.;;;;;;;;;;;;x
heavens_lore_non_battle.300_desc;The greatest of mages can inspire such frenzy with put a single world. You empower your minions to heights of bravery and resiliance hitherto unknown.;;;;;;;;;;;;x
heavens_lore_non_battle.300a;To the Death!!;;;;;;;;;;;;x

heavens_lore_non_battle.301;Hope burns within the heart!;;;;;;;;;;;;x
heavens_lore_non_battle.301_desc;Like a raging sun, the fire of hope burns out of control, empowering your men!;;;;;;;;;;;;x
heavens_lore_non_battle.301a;My armies are empowered!;;;;;;;;;;;;x






heavens_lore_non_battle.400;Ward of Protection..;;;;;;;;;;;;x
heavens_lore_non_battle.400_desc;Putting forth their powers, your mage abjures a mighty ward around the realm, protecting all who live there.;;;;;;;;;;;;x
heavens_lore_non_battle.400a;By the soul are we saved!;;;;;;;;;;;;x

heavens_lore_non_battle.401;The Soul is the Guardian of Life!;;;;;;;;;;;;x
heavens_lore_non_battle.401_desc;Humming with the energies of the Aethyr, the glowing barriers of protection hum and zing with bristling power of the creators soul!;;;;;;;;;;;;x
heavens_lore_non_battle.401a;Nothing shall shake the walls!;;;;;;;;;;;;x


heavens_lore_non_battle.500;Magic is Might!;;;;;;;;;;;;x
heavens_lore_non_battle.500_desc;Your magic has bubbled in your fingertips, leaving a growing feeling of the arcane, it is time now to choose what action you shall undertake next.;;;;;;;;;;;;x
heavens_lore_non_battle.500a;I am done with spell casting.;;;;;;;;;;;;x

heavens_lore_non_battle.501;You Magic has been Dispeled.;;;;;;;;;;;;x
heavens_lore_non_battle.501_desc;To your horror your magic has been dispelled by an enemey caster.;;;;;;;;;;;;x
heavens_lore_non_battle.501a;Curses!.;;;;;;;;;;;;x
