z_specify_target_decision;Choose Interaction Target.;;;;;;;;;;;;x
designate_target.1;Select your Target.;;;;;;;;;;;;x
designate_target.1a;Mark Target.;;;;;;;;;;;;x
designate_target.1c;Clear Marked Target.;;;;;;;;;;;;x
magic_system.99991;Miscast!.;;;;;;;;;;;;x
magic_system.99991_desc;Infamy, Infamy, the damned Gods have it in for me!.;;;;;;;;;;;;x
magic_system.99991a;Curses!.;;;;;;;;;;;;x

magic_learn_power.1.0_desc;After After much work you have regained the powers your folly had lost.;;;;;;;;;;;;;; # Magic_Power_1 becomes Magic_Power_2
magic_learn_power.1.1_desc;After many years of hard work and gruelling practice, you have increased your ability in the magical arts. No longer are you limited to casting only the most basic cantrips, and those who would oppose you should take heed of your new found eldritch power.;;;;;;;;;;;;;; # Magic_Power_1 becomes Magic_Power_2
magic_learn_power.1.2_desc;After many years of hard work and gruelling practice, you have increased your ability in the magical arts. Your spells have reached dizzying heights that few may comprehend, and only fools would dare stand in your way now.;;;;;;;;;;;;;; # Magic_Power_2 becomes Magic_Power_3
magic_learn_power.1.3_desc;After many years of hard work and gruelling practice, you have increased your ability in the magical arts. You are now one of the strongest spellcasters in the history of the world, and even the thought of defying your will causes terror.;;;;;;;;;;;;;; # Magic_Power_3 becomes Magic_Power_4
magic_learn_power.1.4_desc;;;;;;;;;;;;;;;
magic_learn_power.1a;I can feel the power!;;;;;;;;;;;;;;
magic_learn_power.1b;This power is amazing!;;;;;;;;;;;;;;
magic_learn_power.1c;Behold my phenominal cosmic power!;;;;;;;;;;;;;;
magic_learn_power.99_desc;While contemplating the mysteries of the winds of magic, you have an epiphany regarding a magical theorem that had long evaded your grasp. You are now that much closer to becoming an even more powerful spellcaster.;;;;;;;;;;;;;;
magic_learn_power.99a;This is an amazing breakthrough!;;;;;;;;;;;;;; #gain magic xp

z_magic_phase;Cast Magic.;;;;;;;;;;;;x
z_magic_phase_desc;Use the magic spells that [Root.GetBestName] knows.;;;;;;;;;;;;x

magic_menu.0:Spells of Power;;;;;;;;;;;;x
magic_menu.0_desc;Magic, a force most eldritch and mighty, it falls to you to command your wizard to direct these forces as you soo deem necessary. Choose from the known magics, and whether or not the magic shall find additional powers for their casting. ;;;;;;;;;;;;x
magic_menu.0a;Battle Magic Loremaster;;;;;;;;;;;;x
magic_menu.0b;Battle Magic;;;;;;;;;;;;x
magic_menu.0c;Non Battle Magic Loremaster;;;;;;;;;;;;x
magic_menu.0d;Non Battle Magic;;;;;;;;;;;;x
magic_menu.1;Magic is Might!;;;;;;;;;;;;x
magic_menu.1_desc;Beyond the usual wielding of spells for the winning of wars, your mages are fully capable of casting powerful effects in the service of the greater success of the realm. In this way, you as their liege can take actions to fuel the powe of their sorcery!;;;;;;;;;;;;x
magic_menu.1a;Their powers alone are enough!;;;;;;;;;;;;x
magic_menu.1a_desc;Your Mage shall wield only so much power as their abilities allow.;;;;;;;;;;;;x
magic_menu.1b;I shall invest moderately in their success!;;;;;;;;;;;;x
magic_menu.1b_desc;By a small outlay, your mage is capable of casting as if he had one extra level of magic power.;;;;;;;;;;;;x
magic_menu.1c;I shall invest in their success!;;;;;;;;;;;;x
magic_menu.1c_desc;By a larger outlay, your mage is capable of casting as if they had two extra levels of magic power.;;;;;;;;;;;;x
magic_menu.1d;I shall invest substantially in their success!;;;;;;;;;;;;x
magic_menu.1d_desc;By your supreme investment, your mage is capable of casting as if they had three extra levels of magic power.;;;;;;;;;;;;x
magic_menu.200;Magic is Might;;;;;;;;;;;;x
magic_menu.200_desc;To command the forces of magic is to command power most unnatural, by channelling and directing these eldritch forces, the laws of the world but melt away.;;;;;;;;;;;;x
magic_menu.100;Magic is Might;;;;;;;;;;;;x
magic_menu.100_desc;To command the forces of magic is to command power most unnatural, by channelling and directing these eldritch forces, the laws of the world but melt away.;;;;;;;;;;;;x
magic_menu.100a;Lore of High Magic, Magic is Might!;;;;;;;;;;;;x
magic_menu.100b;Lore of Dark Magic, Magic is Might!;;;;;;;;;;;;x
magic_menu.100c;Lore of Necromancy, Magic is Might!;;;;;;;;;;;;x
magic_menu.100d;Beasts Lore, Magic is Might!;;;;;;;;;;;;x
magic_menu.100e;Heavens Lore, Magic is Might!;;;;;;;;;;;;x
